"filename", "language", "Markdown", "assembly(DOS)", "C", "Batch", "C++", "nasm", "Makefile", "Python", "comment", "blank", "total"
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\guigui00\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\guigui00\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\guigui00\stdio.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 1, 9, 25
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\guigui00\stdlib.h", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 1, 10, 35
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\guigui00\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\stdio.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 1, 9, 25
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\haribote\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\osa_qemu\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\osa_qemu\manual.bat", "Batch", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\qemu\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\qemu\qemu-win.bat", "Batch", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\qemu_9x\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\stdio.h", "C++", 0, 0, 0, 0, 53, 0, 0, 0, 4, 11, 68
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\stdlib.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 11, 41
"d:\workstation\OS_SelfMake\Assembler\day08\z_tools\win32\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 65, 0, 5, 23, 93
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 24, 32, 153
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\bootpack.c", "C", 0, 0, 97, 0, 0, 0, 0, 0, 3, 13, 113
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\bootpack.h", "C++", 0, 0, 0, 0, 112, 0, 0, 0, 10, 13, 135
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\dsctbl.c", "C", 0, 0, 47, 0, 0, 0, 0, 0, 6, 2, 55
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\fifo8.c", "C", 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\graphic.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 6, 6, 170
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\int.c", "C", 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\keyboard.c", "C", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\mouse.c", "C", 0, 0, 55, 0, 0, 0, 0, 0, 2, 1, 58
"d:\workstation\OS_SelfMake\Assembler\day09\a_makescorefiles\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 119, 0, 0, 5, 4, 128
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 65, 0, 5, 23, 93
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 24, 32, 153
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\bootpack.c", "C", 0, 0, 154, 0, 0, 0, 0, 0, 6, 15, 175
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\bootpack.h", "C++", 0, 0, 0, 0, 118, 0, 0, 0, 10, 17, 145
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\dsctbl.c", "C", 0, 0, 47, 0, 0, 0, 0, 0, 6, 2, 55
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\fifo8.c", "C", 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\graphic.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 6, 6, 170
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\int.c", "C", 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\keyboard.c", "C", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\mouse.c", "C", 0, 0, 55, 0, 0, 0, 0, 0, 2, 1, 58
"d:\workstation\OS_SelfMake\Assembler\day09\b_checkmemory\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 127, 0, 0, 5, 4, 136
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 65, 0, 5, 23, 93
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 24, 32, 153
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\bootpack.c", "C", 0, 0, 129, 0, 0, 0, 0, 0, 5, 15, 149
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\bootpack.h", "C++", 0, 0, 0, 0, 118, 0, 0, 0, 10, 17, 145
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\dsctbl.c", "C", 0, 0, 47, 0, 0, 0, 0, 0, 6, 2, 55
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\fifo8.c", "C", 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\graphic.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 6, 6, 170
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\int.c", "C", 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\keyboard.c", "C", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\mouse.c", "C", 0, 0, 55, 0, 0, 0, 0, 0, 2, 1, 58
"d:\workstation\OS_SelfMake\Assembler\day09\c_asmthememtest\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 160, 0, 0, 5, 5, 170
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 65, 0, 5, 23, 93
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 24, 32, 153
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\bootpack.c", "C", 0, 0, 227, 0, 0, 0, 0, 0, 12, 15, 254
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\bootpack.h", "C++", 0, 0, 0, 0, 136, 0, 0, 0, 12, 15, 163
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\dsctbl.c", "C", 0, 0, 47, 0, 0, 0, 0, 0, 6, 2, 55
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\fifo8.c", "C", 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\graphic.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 6, 6, 170
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\int.c", "C", 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\keyboard.c", "C", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\mouse.c", "C", 0, 0, 55, 0, 0, 0, 0, 0, 2, 1, 58
"d:\workstation\OS_SelfMake\Assembler\day09\d_mallocmemory\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 160, 0, 0, 5, 5, 170
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\dsar.bat", "Batch", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\esart5.bat", "Batch", 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\guigui00.h", "C++", 0, 0, 0, 0, 476, 0, 0, 0, 18, 93, 587
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\stdio.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 1, 9, 25
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\stdlib.h", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 1, 10, 35
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\guigui00\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\stdio.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 1, 9, 25
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\haribote\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\osa_qemu\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\osa_qemu\manual.bat", "Batch", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\qemu\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\qemu\qemu-win.bat", "Batch", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\qemu_9x\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\errno.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\float.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\limits.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\math.h", "C++", 0, 0, 0, 0, 32, 0, 0, 0, 1, 10, 43
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\setjmp.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 1, 8, 21
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\stdarg.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\stddef.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\stdio.h", "C++", 0, 0, 0, 0, 53, 0, 0, 0, 4, 11, 68
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\stdlib.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 11, 41
"d:\workstation\OS_SelfMake\Assembler\day09\z_tools\win32\string.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 1, 9, 39
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 65, 0, 5, 23, 93
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 24, 32, 153
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\bootpack.c", "C", 0, 0, 101, 0, 0, 0, 0, 0, 4, 14, 119
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\bootpack.h", "C++", 0, 0, 0, 0, 153, 0, 0, 0, 14, 21, 188
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\dsctbl.c", "C", 0, 0, 47, 0, 0, 0, 0, 0, 6, 2, 55
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\fifo8.c", "C", 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\graphic.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 6, 6, 170
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\int.c", "C", 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\keyboard.c", "C", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\memory.c", "C", 0, 0, 146, 0, 0, 0, 0, 0, 7, 2, 155
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\mouse.c", "C", 0, 0, 55, 0, 0, 0, 0, 0, 2, 1, 58
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 160, 0, 0, 5, 5, 170
"d:\workstation\OS_SelfMake\Assembler\day10\a1_allocmemoryupdate\sheet.c", "C", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 65, 0, 5, 23, 93
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 24, 32, 153
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\bootpack.c", "C", 0, 0, 100, 0, 0, 0, 0, 0, 5, 14, 119
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\bootpack.h", "C++", 0, 0, 0, 0, 136, 0, 0, 0, 13, 21, 170
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\dsctbl.c", "C", 0, 0, 47, 0, 0, 0, 0, 0, 6, 2, 55
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\fifo8.c", "C", 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\graphic.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 6, 6, 170
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\int.c", "C", 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\keyboard.c", "C", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\memory.c", "C", 0, 0, 128, 0, 0, 0, 0, 0, 7, 2, 137
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\mouse.c", "C", 0, 0, 55, 0, 0, 0, 0, 0, 2, 1, 58
"d:\workstation\OS_SelfMake\Assembler\day10\a_memorymanageupdate\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 160, 0, 0, 5, 5, 170
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 65, 0, 5, 23, 93
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 24, 32, 153
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\bootpack.c", "C", 0, 0, 119, 0, 0, 0, 0, 0, 4, 12, 135
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\bootpack.h", "C++", 0, 0, 0, 0, 161, 0, 0, 0, 14, 22, 197
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\dsctbl.c", "C", 0, 0, 47, 0, 0, 0, 0, 0, 6, 2, 55
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\fifo8.c", "C", 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\graphic.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 6, 6, 170
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\int.c", "C", 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\keyboard.c", "C", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\memory.c", "C", 0, 0, 142, 0, 0, 0, 0, 0, 7, 2, 151
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\mouse.c", "C", 0, 0, 55, 0, 0, 0, 0, 0, 2, 1, 58
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\naskfunc.nas", "nasm", 0, 0, 0, 0, 0, 160, 0, 0, 5, 5, 170
"d:\workstation\OS_SelfMake\Assembler\day10\b_sheet\sheet.c", "C", 0, 0, 151, 0, 0, 0, 0, 0, 6, 3, 160
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 65, 0, 5, 23, 93
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\asmhead.nas", "nasm", 0, 0, 0, 0, 0, 97, 0, 0, 24, 32, 153
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\bootpack.c", "C", 0, 0, 119, 0, 0, 0, 0, 0, 4, 12, 135
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\bootpack.h", "C++", 0, 0, 0, 0, 162, 0, 0, 0, 14, 22, 198
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\dsctbl.c", "C", 0, 0, 47, 0, 0, 0, 0, 0, 6, 2, 55
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\fifo8.c", "C", 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\graphic.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 6, 6, 170
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\int.c", "C", 0, 0, 41, 0, 0, 0, 0, 0, 8, 11, 60
"d:\workstation\OS_SelfMake\Assembler\day10\c_sheetfaster(1)\ipl10.nas", "nasm", 0, 0, 0, 0, 0, 92, 0, 0, 10, 2, 104
